#group,false,false,true,true,false,true,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,agent,rssi,x,y
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.455Z,estpos,agent_1,-56.5,5.764810119573021,26.735705867785974
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.456Z,estpos,agent_1,-55.5,2.2094208248206897,23.189156635296477
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.457Z,estpos,agent_1,-53.5,3.0765853059488686,21.817370725526626
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.458Z,estpos,agent_1,-59,2.141984846318225,21.3845177802469
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.459Z,estpos,agent_1,-54.5,2.3312427379152134,21.23884983440615
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.46Z,estpos,agent_1,-53.5,2.378951349606327,20.85822742273805
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.461Z,estpos,agent_1,-56,2.156968754133124,21.016572554109928
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.462Z,estpos,agent_1,-54,2.0530419782789693,20.782252247229096
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.463Z,estpos,agent_2,-57.5,31.93718613848771,46.58636761713071
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.464Z,estpos,agent_1,-56,2.1240713674769545,20.834149076926476
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.465Z,estpos,agent_2,-56.5,31.990658228861424,46.615069521203715
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.466Z,estpos,agent_2,-56,31.200406154738754,46.97467661209551
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.467Z,estpos,agent_1,-53.5,1.7979419813798272,20.745427125631423
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.468Z,estpos,agent_1,-53.5,2.0691148135694073,20.66676942314938
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.469Z,estpos,agent_2,-58,30.68604073599816,46.340384566186096
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.47Z,estpos,agent_1,-53.5,2.1855920146558603,20.730125771426586
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.471Z,estpos,agent_2,-59.5,31.302260223228945,45.677876499745715
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.472Z,estpos,agent_2,-58.5,31.67549271587196,45.51578178716566
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.473Z,estpos,agent_2,-60,31.497819454752026,45.68666551126854
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:25.589Z,estpos,agent_1,-55,-45.1974256028883,67.83664226466965
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:25.59Z,estpos,agent_2,-54,32.025816639325235,46.20793502727967
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:25.591Z,estpos,agent_1,-52.5,-0.35378005072435176,20.15745540425863
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:25.592Z,estpos,agent_2,-59.5,31.93458066604923,46.112648902494804
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:25.593Z,estpos,agent_2,-53.5,31.73974046589548,45.52541003216595
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:25.594Z,estpos,agent_2,-59,32.72937665060921,44.18042562881886
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.711Z,estpos,agent_1,-54,1.9735180751649608,26.532613549636572
