#group,false,false,true,true,false,true,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,agent,rssi,x,y
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.454Z,rawpos,agent_1,-58.5,5.608668898810485,21.2730541573963
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.455Z,rawpos,agent_2,-54.5,38.630003283637386,33.29749009018795
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.456Z,rawpos,agent_2,-57,21.933249007494332,42.6958146423657
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.457Z,rawpos,agent_1,-53.5,2.2424765060894223,16.85144798287782
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.458Z,rawpos,agent_2,-56,33.009889366278934,47.69011641866714
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.459Z,rawpos,agent_1,-54.5,1.9142342436417659,20.912572946925238
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.46Z,rawpos,agent_1,-53.5,2.6589671392360885,19.82245932654328
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.461Z,rawpos,agent_1,-56,-0.5643715211509038,20.992414934592777
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.462Z,rawpos,agent_2,-59.5,36.2091816181486,47.84239925572221
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.463Z,rawpos,agent_2,-57.5,38.207697258644714,44.957445103027744
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.464Z,rawpos,agent_1,-56,5.10965875116719,21.398396842909065
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.465Z,rawpos,agent_1,-53.5,0.3186859750493422,21.997691680021948
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.466Z,rawpos,agent_2,-56,20.99609225322959,51.91496999993232
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.467Z,rawpos,agent_2,-56.5,28.862992832619813,45.63910214656
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.468Z,rawpos,agent_1,-53.5,2.348428058069361,18.854306819824284
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.469Z,rawpos,agent_1,-56,5.161829688410721,23.438334289531788
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.47Z,rawpos,agent_1,-53.5,6.245334522242049,17.944241324316046
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.471Z,rawpos,agent_2,-59.5,39.70151119652331,39.49417689625059
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.472Z,rawpos,agent_1,-52.5,-1.0109406926009887,18.9730861726827
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:23.473Z,rawpos,agent_2,-60,26.390239819187904,50.522819025523006
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:25.589Z,rawpos,agent_1,-55,3.463033823009646,15.620736113918934
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:25.59Z,rawpos,agent_2,-54,29.260165063289776,45.38549041785311
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:25.591Z,rawpos,agent_2,-55.5,28.856799709574698,39.60157964679553
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:25.592Z,rawpos,agent_2,-59.5,42.97346569702076,38.95229448937482
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:25.593Z,rawpos,agent_2,-53.5,32.57030963384729,39.245062496514315
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:25.594Z,rawpos,agent_2,-59,32.08697069355478,44.67019489224282
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.711Z,rawpos,agent_2,-56.5,35.02828887157959,47.47650975723861
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.712Z,rawpos,agent_1,-55.5,2.815862791460259,14.73332673701597
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.713Z,rawpos,agent_1,-54,0.9456157832622897,19.977632762428218
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.714Z,rawpos,agent_1,-53.5,7.555700791971505,22.77962654527508
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.715Z,rawpos,agent_1,-52,1.7627452867029467,17.913478976854453
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.716Z,rawpos,agent_2,-61.5,23.43422784805084,55.23438209272952
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.717Z,rawpos,agent_2,-60.5,19.36422878649947,55.731738206376676
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.718Z,rawpos,agent_2,-53.5,35.16733250128716,39.65171780319122
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.719Z,rawpos,agent_1,-53.5,1.4388688430631473,21.952896311249276
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.72Z,rawpos,agent_2,-55.5,22.801660822524088,52.240638048693185
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.823Z,rawpos,agent_2,-55,34.5731641473025,41.48127675040484
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.824Z,rawpos,agent_1,-53.5,1.0661122230384457,20.972920748619828
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.825Z,rawpos,agent_1,-58,4.667908787441817,21.499084342178936
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.826Z,rawpos,agent_2,-58,32.343735326871666,39.43200204282397
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.827Z,rawpos,agent_2,-61.5,27.740840475606788,54.327210214651515
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.828Z,rawpos,agent_2,-56.5,30.671718452215373,46.85344904260551
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.829Z,rawpos,agent_2,-59.5,36.00680309192535,40.243137689540504
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.83Z,rawpos,agent_1,-55.5,-0.5753630460424463,20.992116552774014
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.831Z,rawpos,agent_2,-57.5,29.991884197969547,38.749024274884455
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.832Z,rawpos,agent_1,-53,0.23368699964991058,12.997899460535715
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.833Z,rawpos,agent_2,-58.5,33.42854410330296,43.67530697240179
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.834Z,rawpos,agent_2,-55,35.99482371627087,44.19697575213245
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.844Z,rawpos,agent_1,-52,2.2120332752534897,19.877296314870676
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.845Z,rawpos,agent_2,-57,37.54529922676479,42.887649807056285
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.846Z,rawpos,agent_2,-56,28.43898945155572,48.24130884391822
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.847Z,rawpos,agent_2,-61.5,36.75958611922695,44.86349104052355
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.848Z,rawpos,agent_2,-55,30.39955112660544,43.41505834731657
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.849Z,rawpos,agent_1,-52.5,0.8391053916331959,20.983229068514028
