NO_OF_FRAMES	3996
NO_OF_CAMERAS	8
NO_OF_BODIES	3
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-08-19, 16:38:19.875	16348406.23157430
DATA_INCLUDED	6D
BODY_NAMES	tag1	tag2	anchor
BODY_FILTERS	No filter	No filter	No filter
TRANSLATION_ORIGIN	Global	Global	Global	
ROTATION_ORIGIN	Global	Global	Global	
Frame	Time	tag1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		tag2 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		anchor X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
5	0.04000	-1582.78406	-343.08489	860.96620	0.00000	0.00000	0.00000	0.60067	1.00000	0.00000	-0.00000	-0.00000	1.00000	0.00000	0.00000	-0.00000	1.00000		-1362.99036	72.74587	845.37347	0.00001	-0.00002	0.00021	1.84442	1.00000	0.00000	0.00000	-0.00000	1.00000	0.00000	-0.00000	-0.00000	1.00000		-2071.37562	81.05557	840.40763	-0.00000	-0.00000	0.00000	0.22922	1.00000	0.00000	0.00000	-0.00000	1.00000	-0.00000	-0.00000	0.00000	1.00000	
6	0.05000	-1582.83230	-343.06763	860.95537	0.01970	-0.03837	0.00140	0.57784	1.00000	0.00002	0.00067	-0.00002	1.00000	0.00034	-0.00067	-0.00034	1.00000		-1363.00653	72.85996	845.25438	0.07754	0.01081	0.07285	1.89890	1.00000	0.00127	-0.00019	-0.00127	1.00000	0.00135	0.00019	-0.00135	1.00000		-2071.34827	81.09619	840.44817	0.06391	-0.00203	0.15474	0.22825	1.00000	0.00270	0.00004	-0.00270	1.00000	0.00112	-0.00004	-0.00112	1.00000	
7	0.06000	-1582.89440	-343.09927	861.00233	0.02930	-0.08631	-0.04844	0.56417	1.00000	-0.00085	0.00151	0.00085	1.00000	0.00051	-0.00151	-0.00051	1.00000		-1362.98624	72.72045	845.27916	-0.10099	-0.11666	-0.11333	1.84642	1.00000	-0.00197	0.00204	0.00198	1.00000	-0.00176	-0.00204	0.00176	1.00000		-2071.45767	81.02899	840.37044	-0.03231	-0.11874	0.36765	0.20162	0.99998	0.00642	0.00207	-0.00642	0.99998	-0.00058	-0.00207	0.00056	1.00000	
8	0.07000	-1582.88541	-343.19347	860.95079	0.07134	-0.10137	-0.03835	0.56435	1.00000	-0.00067	0.00177	0.00067	1.00000	0.00125	-0.00177	-0.00125	1.00000		-1363.05520	72.86985	845.38370	0.12716	0.02205	0.16365	1.91854	1.00000	0.00286	-0.00038	-0.00286	0.99999	0.00222	0.00038	-0.00222	1.00000		-2071.40858	81.01056	840.41171	-0.04406	-0.06027	0.15364	0.12541	1.00000	0.00268	0.00105	-0.00268	1.00000	-0.00077	-0.00105	0.00077	1.00000	
9	0.08000	-1582.96548	-343.22826	861.00000	0.06853	-0.14772	-0.20747	0.57784	0.99999	-0.00362	0.00257	0.00362	0.99999	0.00121	-0.00258	-0.00120	1.00000		-1362.97104	72.68923	845.28528	-0.03242	-0.06594	-0.13177	1.86650	1.00000	-0.00230	0.00115	0.00230	1.00000	-0.00056	-0.00115	0.00057	1.00000		-2071.34280	81.09469	840.43655	0.06956	-0.01336	0.18516	0.24709	0.99999	0.00323	0.00024	-0.00323	0.99999	0.00121	-0.00023	-0.00121	1.00000	
10	0.09000	-1582.94402	-343.14845	860.94834	0.00061	-0.19263	-0.16274	0.59470	0.99999	-0.00284	0.00336	0.00284	1.00000	0.00002	-0.00336	-0.00001	0.99999		-1362.97416	72.69814	845.28459	-0.01479	-0.07741	-0.12243	1.85993	1.00000	-0.00214	0.00135	0.00214	1.00000	-0.00026	-0.00135	0.00026	1.00000		-2071.38421	81.10992	840.42630	0.07064	-0.01820	0.24666	0.20582	0.99999	0.00430	0.00032	-0.00431	0.99999	0.00123	-0.00032	-0.00123	1.00000	
11	0.10000	-1582.95579	-343.28500	861.04373	0.16681	-0.17410	-0.09392	0.52761	0.99999	-0.00165	0.00303	0.00164	0.99999	0.00292	-0.00304	-0.00291	0.99999		-1363.00301	72.72931	845.29693	-0.02573	-0.08123	-0.15186	1.86965	1.00000	-0.00265	0.00142	0.00265	1.00000	-0.00045	-0.00142	0.00045	1.00000		-2071.31985	80.97415	840.32481	-0.02414	-0.12819	0.07605	0.18213	1.00000	0.00133	0.00224	-0.00133	1.00000	-0.00042	-0.00224	0.00042	1.00000	
12	0.11000	-1583.02873	-343.22624	861.20729	0.19255	-0.24679	0.10049	0.58742	0.99999	0.00174	0.00431	-0.00175	0.99999	0.00335	-0.00431	-0.00336	0.99999		-1363.05808	72.83166	845.32564	0.06803	-0.02689	0.09853	1.91667	1.00000	0.00172	0.00047	-0.00172	1.00000	0.00119	-0.00047	-0.00119	1.00000		-2071.44137	80.98724	840.38294	-0.04225	-0.09860	0.36153	0.18338	0.99998	0.00631	0.00172	-0.00631	0.99998	-0.00075	-0.00172	0.00074	1.00000	
13	0.12000	-1582.81493	-343.05549	860.97352	0.02028	-0.05193	-0.19481	0.58041	0.99999	-0.00340	0.00091	0.00340	0.99999	0.00036	-0.00091	-0.00035	1.00000		-1363.07433	72.80080	845.33125	0.06035	-0.02130	0.10748	1.92685	1.00000	0.00188	0.00037	-0.00188	1.00000	0.00105	-0.00037	-0.00105	1.00000		-2071.46304	80.99796	840.44848	-0.05052	-0.08834	0.37373	0.15138	0.99998	0.00652	0.00154	-0.00652	0.99998	-0.00089	-0.00154	0.00088	1.00000	
14	0.13000	-1582.74202	-342.99972	861.04521	-0.03945	-0.01161	-0.10820	0.58937	1.00000	-0.00189	0.00020	0.00189	1.00000	-0.00069	-0.00020	0.00069	1.00000		-1363.00433	72.73820	845.34086	0.02029	-0.11932	-0.08930	1.86447	1.00000	-0.00156	0.00208	0.00156	1.00000	0.00036	-0.00208	-0.00035	1.00000		-2071.50839	81.10847	840.48751	0.08717	-0.03221	0.65717	0.08911	0.99993	0.01147	0.00058	-0.01147	0.99993	0.00151	-0.00056	-0.00152	1.00000	
15	0.14000	-1582.70301	-343.05422	861.13434	0.05897	-0.04226	-0.08746	0.54168	1.00000	-0.00153	0.00074	0.00153	1.00000	0.00103	-0.00074	-0.00103	1.00000		-1363.01691	72.68224	845.32001	-0.03290	-0.10260	-0.11396	1.87250	1.00000	-0.00199	0.00179	0.00199	1.00000	-0.00057	-0.00179	0.00057	1.00000		-2071.36920	81.11352	840.49688	0.05891	-0.00182	0.29772	0.18157	0.99999	0.00520	0.00004	-0.00520	0.99999	0.00103	-0.00003	-0.00103	1.00000	
16	0.15000	-1582.58831	-342.89853	861.08018	-0.07566	0.01549	-0.13333	0.55761	1.00000	-0.00233	-0.00027	0.00233	1.00000	-0.00132	0.00027	0.00132	1.00000		-1363.09201	72.81733	845.38023	0.09663	-0.00351	0.09914	1.91787	1.00000	0.00173	0.00006	-0.00173	1.00000	0.00169	-0.00006	-0.00169	1.00000		-2071.34437	81.11319	840.46143	0.07291	0.00016	0.30898	0.19731	0.99999	0.00539	0.00000	-0.00539	0.99998	0.00127	0.00000	-0.00127	1.00000	
17	0.16000	-1582.48855	-342.82966	860.96606	-0.12430	0.09181	-0.11467	0.58223	1.00000	-0.00200	-0.00160	0.00200	1.00000	-0.00217	0.00160	0.00217	1.00000		-1363.08729	72.84715	845.34955	0.08599	-0.05327	0.12229	1.90724	1.00000	0.00213	0.00093	-0.00213	1.00000	0.00150	-0.00093	-0.00150	1.00000		-2071.45454	81.00284	840.40113	-0.01783	-0.12363	0.37081	0.21584	0.99998	0.00647	0.00216	-0.00647	0.99998	-0.00033	-0.00216	0.00031	1.00000	
18	0.17000	-1582.58303	-342.74743	861.03202	-0.16402	0.00343	-0.17102	0.57562	1.00000	-0.00298	-0.00005	0.00298	0.99999	-0.00286	0.00006	0.00286	1.00000		-1363.00211	72.70446	845.32089	-0.00172	-0.09249	-0.12013	1.87023	1.00000	-0.00210	0.00161	0.00210	1.00000	-0.00003	-0.00161	0.00003	1.00000		-2071.43491	80.97543	840.40962	-0.01281	-0.10215	0.22634	0.14877	0.99999	0.00395	0.00178	-0.00395	0.99999	-0.00023	-0.00178	0.00022	1.00000	
19	0.18000	-1582.61111	-342.63856	861.07902	-0.20445	-0.02438	-0.07285	0.57541	1.00000	-0.00127	0.00043	0.00127	0.99999	-0.00357	-0.00043	0.00357	0.99999		-1363.06730	72.84440	845.30110	0.03232	-0.05535	0.12802	1.90152	1.00000	0.00223	0.00097	-0.00223	1.00000	0.00056	-0.00097	-0.00056	1.00000		-2071.55975	81.15125	840.50946	0.08149	-0.05389	0.71747	0.11785	0.99992	0.01252	0.00096	-0.01252	0.99992	0.00141	-0.00094	-0.00142	1.00000	
